City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,Hofn,64.2539,-15.2082,27.99,85,100,6.76,IS,2021-01-08 00:42:47
124,Saint George,37.1041,-113.5841,51.8,25,1,4.27,US,2021-01-08 00:42:47
125,Bluefield,37.2698,-81.2223,33.01,80,1,5.75,US,2021-01-08 00:42:47
126,Menongue,-14.6585,17.691,64.6,95,100,2.62,AO,2021-01-08 00:42:47
127,Bethel,41.3712,-73.414,28.99,78,0,1.99,US,2021-01-08 00:42:48
128,Xingcheng,40.6167,120.7167,0.37,65,0,6.17,CN,2021-01-08 00:42:48
129,Saint-Philippe,-21.3585,55.7679,75.2,73,0,4.61,RE,2021-01-08 00:42:48
130,Labuhan,-6.8844,112.2051,78.3,83,100,9.86,ID,2021-01-08 00:42:49
131,Hope,33.6671,-93.5916,42.01,67,100,5.01,US,2021-01-08 00:42:49
132,Valdemarpils,57.3707,22.5919,32.0,100,90,5.75,LV,2021-01-08 00:42:49
133,Bluff,-46.6,168.3333,62.01,72,94,4.0,NZ,2021-01-08 00:42:49
134,Port Lincoln,-34.7333,135.8667,71.2,63,0,9.89,AU,2021-01-08 00:42:49
135,Namatanai,-3.6667,152.4333,84.29,72,100,9.62,PG,2021-01-08 00:42:50
136,Woodward,36.4337,-99.3904,37.4,93,90,6.91,US,2021-01-08 00:42:50
137,Kamaishi,39.2667,141.8833,21.2,93,75,5.75,JP,2021-01-08 00:42:21
138,Oakley,37.9974,-121.7124,55.0,78,100,2.24,US,2021-01-08 00:42:50
139,Boysun,38.2061,67.1986,12.25,81,0,3.49,UZ,2021-01-08 00:42:51
140,Panzhihua,26.5851,101.7128,39.99,72,92,2.71,CN,2021-01-08 00:42:51
141,Pinega,64.7001,43.3936,-8.48,90,29,3.69,RU,2021-01-08 00:42:51
142,Bengkulu,-3.8004,102.2655,78.48,76,97,4.32,ID,2021-01-08 00:42:20
143,Korla,41.7597,86.1469,13.03,84,100,4.76,CN,2021-01-08 00:42:52
144,Tornio,65.8481,24.1466,19.4,93,90,4.61,FI,2021-01-08 00:42:52
145,Bilibino,68.0546,166.4372,-13.99,86,100,0.65,RU,2021-01-08 00:42:52
146,Rantepao,-2.9701,119.8978,74.25,79,100,2.1,ID,2021-01-08 00:42:53
147,Sao Joao Da Barra,-21.6403,-41.0511,76.71,87,8,16.98,BR,2021-01-08 00:42:53
148,Narsaq,60.9167,-46.05,35.6,93,90,4.61,GL,2021-01-08 00:42:53
149,Hovd,48.0056,91.6419,-13.29,79,0,0.09,MN,2021-01-08 00:42:53
150,Iqaluit,63.7506,-68.5145,-18.0,63,1,2.3,CA,2021-01-08 00:42:55
151,Villarrobledo,39.2699,-2.6012,32.0,97,100,1.99,ES,2021-01-08 00:42:55
152,Burns Lake,54.2331,-125.7533,23.0,93,90,3.18,CA,2021-01-08 00:42:55
153,Sulina,45.1559,29.6536,44.24,71,100,3.31,RO,2021-01-08 00:42:55
154,Tieling,42.2931,123.8414,-8.07,70,0,5.82,CN,2021-01-08 00:42:55
155,Mweka,-4.85,21.5667,65.12,100,97,1.03,CD,2021-01-08 00:42:56
156,Fare,-16.7,-151.0167,80.55,70,11,7.02,PF,2021-01-08 00:42:56
157,Havelock,34.8791,-76.9013,41.0,87,1,4.61,US,2021-01-08 00:42:56
158,Dikson,73.5069,80.5464,15.94,97,93,13.27,RU,2021-01-08 00:42:56
159,Georgetown,5.4112,100.3354,79.0,83,20,4.61,MY,2021-01-08 00:39:00
160,Pitimbu,-7.4706,-34.8086,78.8,83,0,9.22,BR,2021-01-08 00:42:57
161,Solnechnyy,50.7214,136.6319,-14.08,84,62,2.93,RU,2021-01-08 00:42:57
162,Salalah,17.0151,54.0924,69.8,32,0,8.05,OM,2021-01-08 00:42:57
163,Pavlodar,52.3,76.95,-31.0,68,21,4.47,KZ,2021-01-08 00:42:58
164,Urucara,-2.5364,-57.76,79.21,73,23,1.57,BR,2021-01-08 00:42:58
165,Hatillo,18.4863,-66.8254,75.2,73,1,8.05,PR,2021-01-08 00:42:58
166,Klaksvik,62.2266,-6.589,30.2,64,90,13.8,FO,2021-01-08 00:42:59
167,Deputatskiy,69.3,139.9,-15.41,89,100,4.68,RU,2021-01-08 00:42:59
168,Aksha,50.2814,113.2867,-2.79,82,48,11.14,RU,2021-01-08 00:42:59
169,Pisco,-13.7,-76.2167,71.6,78,0,20.71,PE,2021-01-08 00:42:59
170,Northam,51.0333,-4.2167,37.0,95,100,4.0,GB,2021-01-08 00:43:00
171,Valley,45.1277,-116.1262,33.01,93,20,1.63,US,2021-01-08 00:43:00
172,Norman Wells,65.282,-126.8329,-7.6,84,1,5.75,CA,2021-01-08 00:43:00
173,Komsomolskiy,40.4272,71.7189,21.2,73,75,4.61,UZ,2021-01-08 00:43:00
174,Husavik,66.0449,-17.3389,26.6,93,90,23.02,IS,2021-01-08 00:43:00
175,Katsuura,35.1333,140.3,39.2,56,75,20.71,JP,2021-01-08 00:43:01
176,Beringovskiy,63.05,179.3167,-15.68,86,3,4.72,RU,2021-01-08 00:43:01
177,Rodrigues Alves,-7.738,-72.6509,70.97,97,83,0.43,BR,2021-01-08 00:43:01
178,Changping,40.2186,116.2197,16.0,55,0,2.24,CN,2021-01-08 00:43:01
179,Bam,29.106,58.357,36.91,57,0,11.32,IR,2021-01-08 00:43:02
180,Sargatskoye,55.6101,73.4972,-20.61,85,0,0.81,RU,2021-01-08 00:43:02
181,Bom Jesus,-9.0744,-44.3586,77.32,42,1,1.66,BR,2021-01-08 00:43:02
182,Cabo San Lucas,22.8909,-109.9124,75.2,43,1,8.05,MX,2021-01-08 00:41:41
183,Kodiak,57.79,-152.4072,39.2,87,90,6.91,US,2021-01-08 00:43:03
184,Hot Springs,34.5037,-93.0552,42.8,75,90,5.75,US,2021-01-08 00:43:03
185,Malmesbury,-33.4608,18.7271,66.99,77,0,16.11,ZA,2021-01-08 00:39:17
186,Bubaque,11.2833,-15.8333,79.23,80,58,14.47,GW,2021-01-08 00:43:04
187,Ayan,56.45,138.1667,-18.27,73,98,7.85,RU,2021-01-08 00:43:04
188,Henties Bay,-22.116,14.2845,68.0,88,100,6.06,NA,2021-01-08 00:43:05
189,Edeia,-17.3383,-49.9314,73.51,85,100,3.58,BR,2021-01-08 00:43:05
190,Lebu,-37.6167,-73.65,55.18,73,67,21.27,CL,2021-01-08 00:43:05
191,Riachao Do Dantas,-11.0689,-37.725,72.37,92,41,6.58,BR,2021-01-08 00:43:05
