City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Salinopolis,BR,2021-01-11 00:30:59,-0.6136,-47.3561,79.45,86,97,12.1,light rain
78,Albany,US,2021-01-11 00:30:37,42.6001,-73.9662,21.99,93,20,3.2,few clouds
79,Atuona,PF,2021-01-11 00:30:59,-9.8,-139.0333,77.74,80,100,13.82,light rain
80,Samarai,PG,2021-01-11 00:31:00,-10.6167,150.6667,86.65,69,100,8.46,overcast clouds
81,Hasaki,JP,2021-01-11 00:31:00,35.7333,140.8333,36.0,74,75,9.22,broken clouds
82,Putina,PE,2021-01-11 00:31:00,-15.4667,-69.4333,47.46,74,100,8.28,overcast clouds
83,Cidreira,BR,2021-01-11 00:31:00,-30.1811,-50.2056,76.95,81,67,22.32,broken clouds
84,Katherine,AU,2021-01-11 00:31:01,-14.4667,132.2667,86.0,62,0,2.3,clear sky
85,Sal Rei,CV,2021-01-11 00:31:01,16.1833,-22.9167,68.0,56,75,21.85,broken clouds
86,Hilo,US,2021-01-11 00:31:01,19.7297,-155.09,80.6,57,1,10.36,clear sky
87,Barra,BR,2021-01-11 00:31:02,-11.0894,-43.1417,76.91,75,17,2.48,few clouds
88,Nabire,ID,2021-01-11 00:31:02,-3.3667,135.4833,85.96,65,100,2.35,overcast clouds
89,Jalu,LY,2021-01-11 00:31:03,29.0331,21.5482,63.5,43,6,9.4,clear sky
90,Ponta Do Sol,PT,2021-01-11 00:31:03,32.6667,-17.1,53.01,71,3,1.99,clear sky
91,Cherskiy,RU,2021-01-11 00:31:03,68.75,161.3,-34.74,83,61,1.61,broken clouds
92,Lompoc,US,2021-01-11 00:31:04,34.6391,-120.4579,59.0,72,1,13.8,clear sky
93,Ahipara,NZ,2021-01-11 00:31:04,-35.1667,173.1667,70.43,59,1,9.33,clear sky
94,Carnarvon,AU,2021-01-11 00:31:04,-24.8667,113.6333,78.8,69,0,19.57,clear sky
95,Douentza,ML,2021-01-11 00:31:05,14.9951,-2.9517,67.98,23,0,3.67,clear sky
96,Chany,RU,2021-01-11 00:31:05,55.3121,76.7647,-0.65,93,100,8.68,light snow
97,Pevek,RU,2021-01-11 00:31:05,69.7008,170.3133,-26.73,87,100,3.56,overcast clouds
98,Fortuna,US,2021-01-11 00:31:05,40.5982,-124.1573,55.99,87,1,1.77,clear sky
99,Lomianki,PL,2021-01-11 00:31:06,52.3341,20.886,35.01,74,75,4.61,broken clouds
100,Touros,BR,2021-01-11 00:31:06,-5.1989,-35.4608,80.6,74,40,11.5,scattered clouds
101,Verkh-Usugli,RU,2021-01-11 00:31:06,52.7,115.1667,-9.29,87,62,1.7,broken clouds
102,La Ronge,CA,2021-01-11 00:31:07,55.1001,-105.2842,21.2,73,100,3.44,overcast clouds
103,Turayf,SA,2021-01-11 00:31:07,31.6725,38.6637,41.0,93,0,4.61,clear sky
104,Wanning,CN,2021-01-11 00:31:07,18.8003,110.3967,54.57,79,100,19.57,overcast clouds
105,Castro,BR,2021-01-11 00:31:07,-24.7911,-50.0119,66.29,97,100,7.81,overcast clouds
106,Asekeyevo,RU,2021-01-11 00:31:07,53.5742,52.7972,2.48,93,60,5.39,broken clouds
107,Saint George,US,2021-01-11 00:31:08,37.1041,-113.5841,48.2,27,1,4.61,clear sky
108,Wageningen,NL,2021-01-11 00:31:08,51.9667,5.6667,39.0,93,90,10.36,mist
109,Hof,DE,2021-01-11 00:31:09,50.3167,11.9167,24.01,92,0,1.99,clear sky
110,Lebu,CL,2021-01-11 00:30:46,-37.6167,-73.65,56.03,87,95,6.62,light rain
111,Konstantinovka,RU,2021-01-11 00:31:09,49.6167,127.9833,-9.02,84,56,3.67,broken clouds
112,Tuatapere,NZ,2021-01-11 00:31:09,-46.1333,167.6833,61.0,64,100,15.01,overcast clouds
113,Upernavik,GL,2021-01-11 00:31:10,72.7868,-56.1549,10.49,86,100,13.06,overcast clouds
114,Puerto Ayora,EC,2021-01-11 00:31:10,-0.7393,-90.3518,73.99,90,0,3.0,clear sky
115,Codrington,AU,2021-01-11 00:31:10,-38.2667,141.9667,90.3,24,100,19.71,overcast clouds
116,Ilhabela,BR,2021-01-11 00:31:10,-23.7781,-45.3581,77.81,87,100,9.37,overcast clouds
117,Vaini,TO,2021-01-11 00:31:11,-21.2,-175.2,84.2,79,75,9.22,broken clouds
118,Resistencia,AR,2021-01-11 00:28:15,-27.4606,-58.9839,91.4,52,0,12.66,clear sky
119,Kidal,ML,2021-01-11 00:31:11,18.4411,1.4078,73.31,19,0,8.46,clear sky
120,Qasigiannguit,GL,2021-01-11 00:31:12,68.8193,-51.1922,19.4,68,75,3.0,broken clouds
121,Hauterive,FR,2021-01-11 00:31:12,46.0901,3.4459,28.4,80,75,6.91,broken clouds
122,Victoria,HK,2021-01-11 00:30:10,22.2855,114.1577,51.01,48,100,5.01,overcast clouds
